Id. Biblioth�que actuelle;ppn;ID Localisation;Desc Cote Principale;count
LASH;002294974;SL1;034 QSJ 1354;0
LASH;009324089;SL1;034 QSJ 1355;0
LASH;069914974;SL1;034 QSJ 1376;0
LASH;003066843;SL1;034 QSJ 1359;0
LASH;002295105;SL1;034 QSJ 1371;0
LASH;071986316;SL1;034 QSJ 1359;0
LASH;069914974;SL1;034 QSJ 1376;0
LASH;069914974;SL1;034 QSJ 1376;0
LASH;002295075;SL1;034 QSJ 1368;0
LASH;004032284;SL1;034 QSJ 1376;0
LASH;005960851;SL1;034 QSJ 1359;0
LASH;069914974;SL1;034 QSJ 1376;0
LASH;002295059;SL1;034 QSJ 1366;0
LASH;004368711;SL1;034 QSJ 1377;0
LASH;137205171;SL1;034 QSJ 1377;38
LASH;004368711;SL1;034 QSJ 1377;10
LASH;137205171;SL1;034 QSJ 1377;38
LASH;023849584;SL1;034 QSJ 1377;5
LASH;001654438;SL1;034 QSJ 1377;21
LASH;045313067;SL1;034 QSJ 1382;22
LASH;002295202;SL1;034 QSJ 1380;49
LASH;11500971X;SL1;034 QSJ 1395;77
LASH;04518612X;SL1;034 QSJ 1385;55
LASH;11500971X;SL1;034 QSJ 1395;77
LASH;002295202;SL1;034 QSJ 1380;49
LASH;11500971X;SL1;034 QSJ 1395;77
LASH;045313067;SL1;034 QSJ 1382;22
LASH;04518612X;SL1;034 QSJ 1385;55
LASH;002295350;SL1;034 QSJ 1396;39
LASH;048175633;SL1;034 QSJ 1388;17
LASH;051822628;SL1;034 QSJ 1394;55
LASH;045227802;SL1;034 QSJ 1386;45
LASH;073908061;SL1;034 QSJ 1391;37
LASH;002295199;SL1;034 QSJ 1379;74
LASH;002295369;SL1;034 QSJ 1397;59
LASH;002295369;SL1;034 QSJ 1397;59
LASH;002295539;SL1;034 QSJ 1414;37
LASH;002295504;SL1;034 QSJ 1411;35
LASH;002295520;SL1;034 QSJ 1413;36
LASH;001592580;SL1;034 QSJ 1388;0
LASH;002295377;SL1;034 QSJ 1398;0
LASH;002295377;SL1;034 QSJ 1398;0
LASH;061048917;SL1;034 QSJ 1416;0
LASH;045227802;SL1;034 QSJ 1386;0
LASH;002295458;SL1;034 QSJ 1406;0
